rank,formula,family,charge,n_atoms,e_reaction_kcalmol,reference_reaction,is_true_minimum,n_imaginary_freq,xyz
5,N11_anion,anion,-1,11,-74.54373955301143,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0024_conf0/post_freq_minimum.xyz
6,N11_anion,anion,-1,11,-68.76545911605804,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0024_conf1/xtbopt.xyz
7,N11_anion,anion,-1,11,-56.37212526648364,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0130_conf0/post_freq_minimum.xyz
8,N11_anion,anion,-1,11,-48.77215982749859,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0175_conf0/xtbopt.xyz
9,N11_anion,anion,-1,11,-46.888276621905234,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0214_conf1/post_freq_minimum.xyz
10,N11_anion,anion,-1,11,-36.69169294040466,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0025_conf0/xtbopt.xyz
11,N11_anion,anion,-1,11,-33.522643771511746,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N11_anion_iso0005_conf0/xtbopt.xyz
12,N11_anion,anion,-1,11,-17.469455257633822,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0040_conf0/post_freq_minimum.xyz
13,N11_anion,anion,-1,11,-10.279194106683518,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0110_conf0/post_freq_minimum.xyz
14,N11_anion,anion,-1,11,-6.493298641643787,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0115_conf1/post_freq_minimum.xyz
15,N11_anion,anion,-1,11,19.847626172990363,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0200_conf1/post_freq_minimum.xyz
16,N11_anion,anion,-1,11,37.82947912135711,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0164_conf1/post_freq_minimum.xyz
17,N11_anion,anion,-1,11,38.70917641493265,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0083_conf1/post_freq_minimum.xyz
18,N11_anion,anion,-1,11,58.9828356910164,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N11_anion_iso0176_conf0/post_freq_minimum.xyz
1,N13_anion,anion,-1,13,-92.59554140850643,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N13_anion_iso0244_conf1/post_freq_minimum.xyz
2,N13_anion,anion,-1,13,22.403337399437426,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/xtb/N13_anion_iso0246_conf1/xtbopt.xyz
3,N13_anion,anion,-1,13,24.00637823230512,Nx- -> (x-5)/2 N2 + N5-,True,0,resultats/seeds_pubchem/work/frequency/N13_anion_iso0246_conf0/post_freq_minimum.xyz
1,N5_cation,cation,1,5,-105.62835010413654,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0004_conf1/xtbopt.xyz
2,N5_cation,cation,1,5,-31.468012554338095,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0008_conf1/xtbopt.xyz
3,N5_cation,cation,1,5,-0.7787268978207325,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0018_conf1/xtbopt.xyz
4,N5_cation,cation,1,5,0.00030253842396853035,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0015_conf1/xtbopt.xyz
5,N5_cation,cation,1,5,28.37441940949486,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N5_cation_iso0005_conf0/post_freq_minimum.xyz
6,N5_cation,cation,1,5,78.70396460512441,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0009_conf1/xtbopt.xyz
7,N5_cation,cation,1,5,79.95444440290632,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N5_cation_iso0012_conf1/xtbopt.xyz
1,N7_cation,cation,1,7,-133.41573169723185,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N7_cation_iso0057_conf1/xtbopt.xyz
2,N7_cation,cation,1,7,-127.22137517547527,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N7_cation_iso0113_conf0/post_freq_minimum.xyz
3,N7_cation,cation,1,7,-106.40752284416594,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N7_cation_iso0002_conf1/xtbopt.xyz
4,N7_cation,cation,1,7,-42.15591971996591,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N7_cation_iso0005_conf0/xtbopt.xyz
5,N7_cation,cation,1,7,-8.483097008578104,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N7_cation_iso0068_conf1/xtbopt.xyz
6,N7_cation,cation,1,7,45.40808875473649,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/xtb/N7_cation_iso0030_conf1/xtbopt.xyz
1,N9_cation,cation,1,9,-174.43070738574804,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N9_cation_iso0105_conf0/post_freq_minimum.xyz
2,N9_cation,cation,1,9,-144.98958231697293,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N9_cation_iso0037_conf0/post_freq_minimum.xyz
3,N9_cation,cation,1,9,-142.4638401303715,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N9_cation_iso0007_conf0/post_freq_minimum.xyz
4,N9_cation,cation,1,9,-140.23455875774442,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N9_cation_iso0001_conf1/post_freq_minimum.xyz
5,N9_cation,cation,1,9,-73.83129359184942,Nx+ -> (x-5)/2 N2 + N5+,True,0,resultats/seeds_pubchem/work/frequency/N9_cation_iso0017_conf0/post_freq_minimum.xyz
