rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
15,N9_anion,anion,N9_anion_iso0043_conf0,-1,9,-26.195025073869218,-2.9105583415410243,0.0937439261307844,0.2834335757955713,58.8252022150087,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0043_conf0/xtbopt.xyz,True,0,0
16,N9_anion,anion,N9_anion_iso0015_conf1,-1,9,-26.191863060749963,-2.910207006749996,0.0969059392500391,0.2929938824958958,60.80939541902669,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0015_conf1/xtbopt.xyz,True,0,0
17,N9_anion,anion,N9_anion_iso0139_conf0,-1,9,-26.170724337036745,-2.9078582596707494,0.118044662963257,0.3569065464634067,74.07414491610258,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0139_conf0/post_freq_minimum.xyz,True,1,0
18,N9_anion,anion,N9_anion_iso0051_conf1,-1,9,-26.15057445280294,-2.905619383644771,0.1381945471970631,0.4178294667631893,86.71838826696238,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N9_anion_iso0051_conf1/post_freq_minimum.xyz,True,1,0
19,N9_anion,anion,N9_anion_iso0014_conf1,-1,9,-26.068596013973735,-2.896510668219304,0.2201729860262666,0.6656902404103623,138.1606356790323,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N9_anion_iso0014_conf1/xtbopt.xyz,True,0,0
1,N11_anion,anion,N11_anion_iso0131_conf0,-1,11,-32.25380639938313,-2.932164218125739,-0.2011023993831315,-0.497479551328121,-126.1936617966266,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0131_conf0/post_freq_minimum.xyz,True,1,0
2,N11_anion,anion,N11_anion_iso0008_conf0,-1,11,-32.190944561076094,-2.9264495055523723,-0.1382405610760955,-0.3419743002094299,-86.74726241220566,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0008_conf0/post_freq_minimum.xyz,True,1,0
3,N11_anion,anion,N11_anion_iso0005_conf0,-1,11,-32.183339350831176,-2.925758122802834,-0.1306353508311772,-0.3231608171679376,-81.97492089622496,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N11_anion_iso0005_conf0/xtbopt.xyz,True,0,0
4,N11_anion,anion,N11_anion_iso0143_conf0,-1,11,-32.17439918509242,-2.924945380462947,-0.1216951850924203,-0.3010449714388047,-76.36488215425504,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/xtb/N11_anion_iso0143_conf0/xtbopt.xyz,True,0,0
5,N11_anion,anion,N11_anion_iso0023_conf0,-1,11,-32.17149700928883,-2.9246815462989844,-0.1187930092888294,-0.2938656780983252,-74.54373932872875,Nx- -> (x-5)/2 N2 + N5-,resultats/seeds_pubchem/work/frequency/N11_anion_iso0023_conf0/post_freq_minimum.xyz,True,1,0
