rank,formula,family,tag,charge,n_atoms,e_xtb_hartree,e_per_atom_hartree,e_reaction_hartree,e_reaction_ev_per_atom,e_reaction_kcalmol,reference_reaction,smiles,xyz,is_true_minimum,n_freq_hops,n_imaginary_freq
16,N11_anion,anion,N11_anion_iso0164_conf1,-1,11,-31.992418888129805,-2.9084017171027097,0.060285111870193475,0.14913104218022094,37.82947912135711,Nx- -> (x-5)/2 N2 + N5-,n1nn2n3n4[n-]n5n(n1n43)n25,resultats/seeds_pubchem/work/frequency/N11_anion_iso0164_conf1/post_freq_minimum.xyz,True,1,0
17,N11_anion,anion,N11_anion_iso0083_conf1,-1,11,-31.99101700126837,-2.9082742728425792,0.061686998731627085,0.15259897716746149,38.70917641493265,Nx- -> (x-5)/2 N2 + N5-,[n-]1n2n3n4n1n1n2n2n3n4n12,resultats/seeds_pubchem/work/frequency/N11_anion_iso0083_conf1/post_freq_minimum.xyz,True,1,0
18,N11_anion,anion,N11_anion_iso0176_conf0,-1,11,-31.958708868937073,-2.9053371699033703,0.09399513106292545,0.23252161969050264,58.9828356910164,Nx- -> (x-5)/2 N2 + N5-,[N-]1[N-][N+]12n1n3n4n2n2n1n2n34,resultats/seeds_pubchem/work/frequency/N11_anion_iso0176_conf0/post_freq_minimum.xyz,True,2,0
1,N13_anion,anion,N13_anion_iso0244_conf1,-1,13,-37.96419938682387,-2.9203230297556826,-0.1475603868238693,-0.3088709754209004,-92.59554140850643,Nx- -> (x-5)/2 N2 + N5-,n1n[n-][n+]2[n+]([n-]1)[n-][n+]1[n-]nn[n-][n+]12,resultats/seeds_pubchem/work/frequency/N13_anion_iso0244_conf1/post_freq_minimum.xyz,True,1,0
2,N13_anion,anion,N13_anion_iso0246_conf1,-1,13,-37.780937009574544,-2.9062259238134263,0.03570199042545852,0.07473081932443978,22.403337399437426,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n+](n1)[N+]1([N-][N-]1)[N-][N+]21[N-][N-]1,resultats/seeds_pubchem/work/xtb/N13_anion_iso0246_conf1/xtbopt.xyz,True,0,0
3,N13_anion,anion,N13_anion_iso0246_conf0,-1,13,-37.77838240141745,-2.9060294154936503,0.03825659858254937,0.08007808311442062,24.00637823230512,Nx- -> (x-5)/2 N2 + N5-,n1nn[n+]2[n+](n1)[N+]1([N-][N-]1)[N-][N+]21[N-][N-]1,resultats/seeds_pubchem/work/frequency/N13_anion_iso0246_conf0/post_freq_minimum.xyz,True,1,0
1,N5_cation,cation,N5_cation_iso0004_conf1,1,5,-13.985264489345171,-2.797052897869034,-0.16832948934517056,-0.9160957502322714,-105.62835010413654,Nx+ -> (x-5)/2 N2 + N5+,N#[N+][N-][N+]#N,resultats/seeds_pubchem/work/xtb/N5_cation_iso0004_conf1/xtbopt.xyz,True,0,0
2,N5_cation,cation,N5_cation_iso0008_conf1,1,5,-13.867082469677952,-2.7734164939355903,-0.050147469677950696,-0.27291643333313753,-31.468012554338095,Nx+ -> (x-5)/2 N2 + N5+,N#[N+][N+]1=N[N-]1,resultats/seeds_pubchem/work/xtb/N5_cation_iso0008_conf1/xtbopt.xyz,True,0,0
3,N5_cation,cation,N5_cation_iso0018_conf1,1,5,-13.818175980294782,-2.7636351960589565,-0.0012409802947814796,-0.006753758824991777,-0.7787268978207325,Nx+ -> (x-5)/2 N2 + N5+,N1=[N+]=[N+]2[N-]N12,resultats/seeds_pubchem/work/xtb/N5_cation_iso0018_conf1/xtbopt.xyz,True,0,0
4,N5_cation,cation,N5_cation_iso0015_conf1,1,5,-13.816934517874337,-2.7633869035748675,4.821256638365412e-07,2.623861531551898e-06,0.00030253842396853035,Nx+ -> (x-5)/2 N2 + N5+,[N-]1n2[n+]3n1[n+]23,resultats/seeds_pubchem/work/xtb/N5_cation_iso0015_conf1/xtbopt.xyz,True,0,0
