source,tag,xyz_file,n_atoms,topology_label,charge,uhf,converged,e_xtb_hartree,e_xtb_eV_per_atom,delta_E_eV_per_atom_vs_N2,seconds
N_csp,N_csp_N7_0034_bicyclic-3-3-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0034_bicyclic-3-3-5.xyz,7,bicyclic-3-3-5,0,1,False,,,,4.16
N_csp,N_csp_N7_0038_bicyclic-3-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0038_bicyclic-3-4-5.xyz,7,bicyclic-3-4-5,0,1,True,-20.213447694883264,-78.57656,-0.15423,2.54
N_csp,N_csp_N7_0039_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0039_bicyclic-3-3.xyz,7,bicyclic-3-3,0,1,True,-20.062240817067703,-77.98877,0.43357,2.56
N_csp,N_csp_N7_0040_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0040_bicyclic-3-4.xyz,7,bicyclic-3-4,0,1,True,-20.115486042677638,-78.19575,0.22658,1.67
N_csp,N_csp_N7_0041_bicyclic-3-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0041_bicyclic-3-5.xyz,7,bicyclic-3-5,0,1,True,-20.218625248658256,-78.59669,-0.17435,1.66
N_csp,N_csp_N7_0022_branched-tree,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0022_branched-tree.xyz,7,branched-tree,0,1,True,-20.212298058628967,-78.57209,-0.14976,24.65
N_csp,N_csp_N7_0042_bicyclic-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0042_bicyclic-4-5.xyz,7,bicyclic-4-5,0,1,False,,,,2.7
N_csp,N_csp_N7_0019_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0019_ring-4-substituted.xyz,7,ring-4-substituted,0,1,True,-20.17332583530614,-78.42059,0.00174,31.2
N_csp,N_csp_N7_0036_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0036_ring-3-substituted.xyz,7,ring-3-substituted,0,1,True,-20.187784942790998,-78.4768,-0.05447,10.29
N_csp,N_csp_N7_0046_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0046_chain.xyz,7,chain,0,1,True,-20.271965259124446,-78.80404,-0.3817,2.06
N_csp,N_csp_N7_0045_bicyclic-3-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0045_bicyclic-3-3-4.xyz,7,bicyclic-3-3-4,0,1,False,,,,2.67
N_csp,N_csp_N7_0035_bicyclic-4-4-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0035_bicyclic-4-4-5.xyz,7,bicyclic-4-4-5,0,1,True,-20.21229805724371,-78.57209,-0.14976,14.53
N_csp,N_csp_N7_0048_bicyclic-3-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0048_bicyclic-3-3-3.xyz,7,bicyclic-3-3-3,0,1,False,,,,2.75
N_csp,N_csp_N7_0024_ring-4-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0024_ring-4-substituted.xyz,7,ring-4-substituted,0,1,True,-20.27139946113746,-78.80184,-0.3795,29.0
N_csp,N_csp_N7_0052_ring-7,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0052_ring-7.xyz,7,ring-7,0,1,True,-20.222221916136146,-78.61067,-0.18833,2.28
N_csp,N_csp_N7_0053_bicyclic-3-4-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N7_0053_bicyclic-3-4-4.xyz,7,bicyclic-3-4-4,0,1,True,-20.0622914499253,-77.98897,0.43337,1.38
